gmid_key,date,year,month,product_family,gmid,loc,country,market,geography,market_segmentation,pf_segmentation,gmid_segmentation,seg_combo,forecast_lag_3,log_sales,log_segment,seg_combo_lag,model_segment,gb_forecast,ada_forecast,bag_forecast,rf_forecast,final_forecast,final_best_model,absolute_error,mape,sales
600026_202507_DK,2025-07-01,2025,7,6,600026,DK001,DK,Denmark,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,135.0,4.394449154672439,Mid High,Secure_Top MCO,Secure_Top MCO_Mid High,80.08637928245422,80.21774193548387,80.23337105664955,80.0,80.0,rf_forecast,0.0,,0.0
600026_202507_FI,2025-07-01,2025,7,6,600026,FI001,FI,Finland,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,31.0,3.58351893845611,Mid,Secure_Top MCO,Secure_Top MCO_Mid,35.29540298973303,35.283687943262414,35.592697622112915,35.0,35.0,rf_forecast,0.0,,0.0
600026_202507_SE,2025-07-01,2025,7,6,600026,SE001,SE,Sweden,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,214.0,5.717027701406222,High,Secure_Top MCO,Secure_Top MCO_High,304.0955110548726,302.7391304347826,301.9187192511719,303.0522023809524,303.0522023809524,rf_forecast,0.0,,0.0
600028_202507_CZ,2025-07-01,2025,7,6,600028,CZ001,CZ,Czech Republic,International,Regular MCO,Secure,Platinum,Secure_Regular MCO,282.0,5.62040086571715,High,Secure_Regular MCO,Secure_Regular MCO_High,275.1683440190292,275.15909090909093,275.2002530281371,274.99375,274.99375,rf_forecast,0.0,,0.0
600030_202507_AT,2025-07-01,2025,7,6,600030,AT001,AT,Austria,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,15.0,1.9459101490553132,Low,Secure_Top MCO,Secure_Top MCO_Low,6.312372675102673,6.0,5.25814397797262,6.0,6.0,rf_forecast,0.0,,0.0
600030_202507_DE,2025-07-01,2025,7,6,600030,DE001,DE,Germany,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,5.0,2.70805020110221,Low,Secure_Top MCO,Secure_Top MCO_Low,14.275094386512988,14.454545454545455,13.99804693509283,14.0,14.0,rf_forecast,0.0,,0.0
600031_202507_IE,2025-07-01,2025,7,6,600031,IE001,IE,Ireland,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,200.0,5.313205979041787,High,Secure_Top MCO,Secure_Top MCO_High,202.1621880552939,200.48333333333332,201.00662415686583,202.00715399610135,202.00715399610135,rf_forecast,0.0,,0.0
600035_202507_TR,2025-07-01,2025,7,6,600035,TR001,TR,Turkey,International,Regular MCO,Secure,Auto Piloted,Secure_Regular MCO,2212.0,7.845024417241484,Extreme High,Secure_Regular MCO,Secure_Regular MCO_Extreme High,2550.059838011884,2548.6,2550.1847782772784,2551.3454761904763,2550.059838011884,gb_forecast,0.0,,0.0
600036_202507_ZA,2025-07-01,2025,7,6,600036,ZA001,ZA,South Africa,International,Regular MCO,Secure,Platinum,Secure_Regular MCO,93.0,4.532599493153256,Mid High,Secure_Regular MCO,Secure_Regular MCO_Mid High,93.06243302073828,92.45588235294117,91.34748323892047,92.0,92.0,rf_forecast,0.0,,0.0
600038_202507_IQ,2025-07-01,2025,7,6,600038,IQ001,IQ,Iraq,International,Regular MCO,Secure,Platinum,Secure_Regular MCO,7336.0,8.827614750837508,Extreme High,Secure_Regular MCO,Secure_Regular MCO_Extreme High,6816.648774691341,6819.0,6821.962916666666,6819.022222222222,6816.648774691341,gb_forecast,0.0,,0.0
600039_202507_GB,2025-07-01,2025,7,6,600039,GB001,GB,United Kingdom,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,2500.0,7.80710329012598,Extreme High,Secure_Top MCO,Secure_Top MCO_Extreme High,2457.764810010471,2458.0,2458.1132105394604,2456.937962962963,2458.0,ada_forecast,0.0,,0.0
600040_202507_SA,2025-07-01,2025,7,6,600040,SA001,SA,Saudi Arabia,Key Markets,Regular MCO,Secure,Platinum,Secure_Regular MCO,1550.0,8.546946149565585,Extreme High,Secure_Regular MCO,Secure_Regular MCO_Extreme High,5146.670555227613,5146.666666666667,5142.440119047618,5147.9,5146.670555227613,gb_forecast,0.0,,0.0
600041_202507_BE,2025-07-01,2025,7,6,600041,BE001,BE,Belgium,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,715.0,5.493061443340548,High,Secure_Top MCO,Secure_Top MCO_High,242.37525362361765,240.69444444444446,241.43108671261535,241.9932716049383,241.9932716049383,rf_forecast,0.0,,0.0
600041_202507_NL,2025-07-01,2025,7,6,600041,NL001,NL,Netherlands,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,246.0,5.918893854273146,High,Secure_Top MCO,Secure_Top MCO_High,370.9729717493639,370.52777777777777,371.0296939881226,371.00997150997154,371.00997150997154,rf_forecast,0.0,,0.0
600048_202507_FR,2025-07-01,2025,7,6,600048,FR001,FR,France,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,0.0,8.229511118964457,Extreme High,Secure_Top MCO,Secure_Top MCO_Extreme High,3747.236852367101,3747.6666666666665,3746.4667765567765,3747.488888888889,3747.6666666666665,ada_forecast,0.0,,0.0
600048_202507_MA,2025-07-01,2025,7,6,600048,MA001,MA,Morocco,International,Regular MCO,Secure,Auto Piloted,Secure_Regular MCO,3222.0,6.907755278982137,Very High,Secure_Regular MCO,Secure_Regular MCO_Very High,998.9185324350667,1000.1590909090909,1000.855986977039,998.9687345480021,998.9687345480021,rf_forecast,0.0,,0.0
600043_202507_JP,2025-07-01,2025,7,6,600043,JP001,JP,Japan,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,973.0,6.97166860472579,Very High,Secure_Top MCO,Secure_Top MCO_Very High,1065.829492093775,1065.4285714285713,1064.7875167559778,1064.9947162097162,1064.9947162097162,rf_forecast,0.0,,0.0
100008_202507_US,2025-07-01,2025,7,1,100008,US001,US,United States,North America,Top MCO,Secure,Platinum,Secure_Top MCO,986.0,6.654152520183219,Very High,Secure_Top MCO,Secure_Top MCO_Very High,774.8622039189623,774.0,775.4410352283672,774.986275607109,774.986275607109,rf_forecast,0.0,,0.0
100009_202507_US,2025-07-01,2025,7,1,100009,US001,US,United States,North America,Top MCO,Secure,Platinum,Secure_Top MCO,1814.0,7.550135342488429,Extreme High,Secure_Top MCO,Secure_Top MCO_Extreme High,1899.6873319417386,1899.2727272727273,1901.1426304663248,1899.977561728395,1899.2727272727273,ada_forecast,0.0,,0.0
100010_202507_US,2025-07-01,2025,7,1,100010,US001,US,United States,North America,Top MCO,Secure,Platinum,Secure_Top MCO,456.0,6.045005314036012,High,Secure_Top MCO,Secure_Top MCO_High,422.8703122450657,419.962962962963,419.6578973200878,421.060752611586,421.060752611586,rf_forecast,0.0,,0.0
100011_202507_US,2025-07-01,2025,7,1,100011,US001,US,United States,North America,Top MCO,Secure,Platinum,Secure_Top MCO,994.0,6.792344427470809,Very High,Secure_Top MCO,Secure_Top MCO_Very High,891.4918376535397,890.0,890.2003227844632,890.0586936828603,890.0586936828603,rf_forecast,0.0,,0.0
100012_202507_US,2025-07-01,2025,7,1,100012,US001,US,United States,North America,Top MCO,Secure,Platinum,Secure_Top MCO,1011.0,6.625392368007956,Very High,Secure_Top MCO,Secure_Top MCO_Very High,752.0367504173373,753.125,753.6125234078698,753.2338888888889,753.2338888888889,rf_forecast,0.0,,0.0
100013_202507_US,2025-07-01,2025,7,1,100013,US001,US,United States,North America,Top MCO,Secure,Platinum,Secure_Top MCO,1820.0,7.534762657037537,Extreme High,Secure_Top MCO,Secure_Top MCO_Extreme High,1872.5458374740822,1872.6363636363637,1873.3649693832735,1871.0961038961036,1872.6363636363637,ada_forecast,0.0,,0.0
100020_202507_KR,2025-07-01,2025,7,1,100020,KR001,KR,Korea,International,Major MCO,Secure,Auto Piloted,Secure_Major MCO,76.0,3.4339872044851463,Mid,Secure_Major MCO,Secure_Major MCO_Mid,29.697357405733747,29.92982456140351,29.90256153665074,30.0,30.0,rf_forecast,0.0,,0.0
100021_202507_KR,2025-07-01,2025,7,1,100021,KR001,KR,Korea,International,Major MCO,Secure,Auto Piloted,Secure_Major MCO,99.0,4.290459441148391,Mid High,Secure_Major MCO,Secure_Major MCO_Mid High,72.4553772831398,72.16216216216216,71.79570753517427,72.0,72.0,rf_forecast,0.0,,0.0
100022_202507_KR,2025-07-01,2025,7,1,100022,KR001,KR,Korea,International,Major MCO,Secure,Auto Piloted,Secure_Major MCO,73.0,4.61512051684126,Mid High,Secure_Major MCO,Secure_Major MCO_Mid High,100.44516499915959,100.20652173913044,99.99348249589674,100.0,100.0,rf_forecast,0.0,,0.0
100024_202507_KR,2025-07-01,2025,7,1,100024,KR001,KR,Korea,International,Major MCO,Secure,Auto Piloted,Secure_Major MCO,139.0,4.795790545596741,Mid High,Secure_Major MCO,Secure_Major MCO_Mid High,120.10251910131196,120.26515151515152,120.18541558717565,120.0,120.0,rf_forecast,0.0,,0.0
100035_202507_TW,2025-07-01,2025,7,1,100035,TW001,TW,Taiwan,Greater China,Regular MCO,Secure,Gold,Secure_Regular MCO,312.0,5.564520407322694,High,Secure_Regular MCO,Secure_Regular MCO_High,259.41615912334163,259.8157894736842,259.19804034234784,260.0043471853816,260.0043471853816,rf_forecast,0.0,,0.0
100036_202507_TW,2025-07-01,2025,7,1,100036,TW001,TW,Taiwan,Greater China,Regular MCO,Secure,Gold,Secure_Regular MCO,39.0,3.713572066704308,Mid,Secure_Regular MCO,Secure_Regular MCO_Mid,40.21418307053156,39.962162162162166,39.92851062530165,40.0,40.0,rf_forecast,0.0,,0.0
100041_202507_TW,2025-07-01,2025,7,1,100041,TW001,TW,Taiwan,Greater China,Regular MCO,Secure,Gold,Secure_Regular MCO,0.0,5.351858133476067,High,Secure_Regular MCO,Secure_Regular MCO_High,210.1670275981878,210.27083333333334,209.49623591676146,209.9987654320988,209.9987654320988,rf_forecast,0.0,,0.0
100025_202507_JP,2025-07-01,2025,7,1,100025,JP001,JP,Japan,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,13.0,2.6390573296152584,Low,Secure_Top MCO,Secure_Top MCO_Low,13.42189851450044,12.398876404494382,13.143845029407526,13.0,13.0,rf_forecast,0.0,,0.0
100026_202507_JP,2025-07-01,2025,7,1,100026,JP001,JP,Japan,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,46.0,3.367295829986474,Mid,Secure_Top MCO,Secure_Top MCO_Mid,28.133078949370613,27.92391304347826,27.919234246229575,28.0,28.0,rf_forecast,0.0,,0.0
100027_202507_JP,2025-07-01,2025,7,1,100027,JP001,JP,Japan,Key Markets,Top MCO,Secure,Platinum,Secure_Top MCO,41.0,4.174387269895637,Mid,Secure_Top MCO,Secure_Top MCO_Mid,64.92362943368313,63.582417582417584,63.455020275608184,64.0,64.0,rf_forecast,0.0,,0.0
