month,year,PRODUCT_FAMILY,GMID,LOC,Country,Sales,Forecast,MAPE,MAPE_Impact,MAPE_Contribution,Absolute Error,Non Absolute Error
5,25,1,100037,AU001,AU,19,18,5.30%,0.00%,0.00%,1,-1
5,25,1,100037,NZ001,NZ,4,6,50.00%,0.00%,0.00%,2,2
5,25,1,100043,AU001,AU,83,85,2.40%,0.00%,0.00%,2,2
5,25,1,100038,AU001,AU,100,129,29.00%,0.00%,0.00%,29,29
5,25,1,100038,NZ001,NZ,34,27,20.60%,0.00%,0.00%,7,-7
5,25,1,100044,AU001,AU,229,249,8.70%,0.00%,0.00%,20,20
5,25,1,100044,NZ001,NZ,61,53,13.10%,0.00%,0.00%,8,-8
5,25,1,100039,AU001,AU,234,256,9.40%,0.00%,0.00%,22,22
5,25,1,100039,NZ001,NZ,46,46,0.00%,0.00%,0.00%,0,0
5,25,1,100040,AU001,AU,198,173,12.60%,0.00%,0.00%,25,-25
5,25,1,100040,NZ001,NZ,41,46,12.20%,0.00%,0.00%,5,5
5,25,1,100045,HK001,HK,401,325.0162941,18.90%,0.00%,0.00%,75.98370588,-75.98370588
5,25,2,200001,US001,US,"2,277",2307.586547,1.30%,0.00%,0.00%,30.58654736,30.58654736
5,25,2,200002,US001,US,"2,062",2381.39965,15.50%,0.02%,0.10%,319.3996496,319.3996496
5,25,2,200003,US001,US,"2,597",3039.762385,17.00%,0.03%,0.20%,442.7623846,442.7623846
5,25,2,200004,US001,US,"2,954",3055.543221,3.40%,0.01%,0.00%,101.5432211,101.5432211
5,25,2,200005,US001,US,889,1308.91311,47.20%,0.03%,0.20%,419.9131104,419.9131104
5,25,2,200006,US001,US,"1,618",2261.509852,39.80%,0.04%,0.20%,643.5098516,643.5098516
5,25,2,200007,JP001,JP,103,283,174.80%,0.01%,0.10%,180,180
5,25,2,200008,JP001,JP,84,181,115.50%,0.01%,0.00%,97,97
5,25,2,200009,JP001,JP,237,312,31.60%,0.00%,0.00%,75,75
5,25,2,200010,JP001,JP,879,1196,36.10%,0.02%,0.10%,317,317
5,25,2,200011,JP001,JP,629,690,9.70%,0.00%,0.00%,60.99999998,60.99999998
5,25,2,200012,JP001,JP,14,44,214.30%,0.00%,0.00%,30,30
5,25,2,200014,TW001,TW,60,91,51.70%,0.00%,0.00%,31,31
5,25,2,200015,TW001,TW,700,500,28.60%,0.01%,0.10%,200,-200
5,25,2,200016,TW001,TW,850,523,38.50%,0.02%,0.10%,327,-327
5,25,2,200017,TW001,TW,800,738,7.80%,0.00%,0.00%,62,-62
5,25,3,300001,AT001,AT,28,30.60514286,9.30%,0.00%,0.00%,2.605142857,2.605142857
5,25,3,300001,DE001,DE,302,175.8097085,41.80%,0.01%,0.00%,126.1902915,-126.1902915
5,25,3,300002,AT001,AT,2,2,0.00%,0.00%,0.00%,0,0
5,25,3,300004,FR001,FR,553,371.6339627,32.80%,0.01%,0.10%,181.3660373,-181.3660373
5,25,3,300004,FR003,FR,61,18.08372402,70.40%,0.00%,0.00%,42.91627598,-42.91627598
5,25,3,300005,AE002,AE,0,45,,0.00%,0.00%,45,45
5,25,3,300005,FI001,FI,0,8,,0.00%,0.00%,8,8
5,25,3,300005,GB001,GB,0,10,,0.00%,0.00%,10,10
5,25,3,300005,OM001,OM,0,10,,0.00%,0.00%,10,10
5,25,3,300005,SA001,SA,0,41,,0.00%,0.00%,41,41
5,25,3,300005,SE001,SE,19,24,26.30%,0.00%,0.00%,5,5
5,25,3,300006,US001,US,"2,107",2000,5.10%,0.01%,0.00%,106.9999999,-106.9999999
5,25,3,300007,GB001,GB,308,500.1671188,62.40%,0.01%,0.10%,192.1671188,192.1671188
5,25,3,300008,BE001,BE,78,60.00822248,23.10%,0.00%,0.00%,17.99177752,-17.99177752
5,25,3,300008,NL001,NL,77,60,22.10%,0.00%,0.00%,17,-17
5,25,3,300010,CH001,CH,57,70,22.80%,0.00%,0.00%,13,13
5,25,3,300011,IT001,IT,"1,333",571.9662873,57.10%,0.05%,0.30%,761.0337127,-761.0337127
5,25,3,300012,HU001,HU,0,32,,0.00%,0.00%,32,32
5,25,3,300012,RO001,RO,99,90,9.10%,0.00%,0.00%,9,-9
5,25,3,300013,IL001,IL,275,100,63.60%,0.01%,0.10%,175,-175
5,25,3,300014,CZ001,CZ,0,32,,0.00%,0.00%,32,32
5,25,3,300015,ES001,ES,232,224.4833184,3.20%,0.00%,0.00%,7.51668161,-7.51668161
5,25,3,300015,PT001,PT,57,64,12.30%,0.00%,0.00%,7,7
5,25,3,300016,GR001,GR,191,229.2979452,20.10%,0.00%,0.00%,38.29794521,38.29794521
5,25,3,300018,CO001,CO,30,32,6.70%,0.00%,0.00%,2,2
5,25,3,300019,JP001,JP,310,386.3333333,24.60%,0.01%,0.00%,76.33333333,76.33333333
5,25,7,700006,KR001,KR,6,11,83.30%,0.00%,0.00%,5,5
5,25,7,700008,CO001,CO,9,19,111.10%,0.00%,0.00%,10,10
5,25,7,700009,AR001,AR,8,11,37.50%,0.00%,0.00%,3,3
5,25,7,700012,IL001,IL,39,47,20.50%,0.00%,0.00%,8,8
5,25,7,700023,IE001,IE,0,1,,0.00%,0.00%,1,1
5,25,7,700024,CO001,CO,"1,080",0,100.00%,0.07%,0.40%,1080,-1080
5,25,7,700030,US001,US,719,703.8416667,2.10%,0.00%,0.00%,15.15833334,-15.15833334
5,25,7,700031,AT001,AT,11,10.70968355,2.60%,0.00%,0.00%,0.290316452,-0.290316452
5,25,7,700031,DE001,DE,22,15.03979747,31.60%,0.00%,0.00%,6.960202526,-6.960202526
5,25,7,700025,DK001,DK,0,5,,0.00%,0.00%,5,5
5,25,7,700025,FI001,FI,7,7,0.00%,0.00%,0.00%,0,0
5,25,7,700025,NO001,NO,0,2,,0.00%,0.00%,2,2
5,25,7,700025,SE001,SE,2,3,50.00%,0.00%,0.00%,1,1
5,25,7,700032,FR001,FR,130,82.1372725,36.80%,0.00%,0.00%,47.8627275,-47.8627275
5,25,7,700032,FR003,FR,4,44.61987036,1015.50%,0.00%,0.00%,40.61987036,40.61987036
5,25,7,700033,DE001,DE,23,15.42374229,32.90%,0.00%,0.00%,7.576257708,-7.576257708
5,25,7,700034,CA001,CA,6,11.9026952,98.40%,0.00%,0.00%,5.902695201,5.902695201
5,25,7,700035,GB001,GB,126,120.932021,4.00%,0.00%,0.00%,5.067978975,-5.067978975
5,25,7,700036,ES001,ES,149,172.7215396,15.90%,0.00%,0.00%,23.7215396,23.7215396
5,25,7,700046,AU001,AU,29,32,10.30%,0.00%,0.00%,3,3
5,25,7,700026,GR001,GR,21,24,14.30%,0.00%,0.00%,3,3
5,25,7,700038,PT001,PT,7,11.28074796,61.20%,0.00%,0.00%,4.280747956,4.280747956
5,25,7,700039,HU001,HU,12,23,91.70%,0.00%,0.00%,11,11
5,25,7,700040,RO001,RO,30,26,13.30%,0.00%,0.00%,4,-4
5,25,7,700041,PL001,PL,26,24,7.70%,0.00%,0.00%,2,-2
5,25,7,700042,CZ001,CZ,0,6,,0.00%,0.00%,6,6
5,25,7,700043,CH001,CH,8,8,0.00%,0.00%,0.00%,0,0
5,25,7,700045,BE001,BE,7,10.75313065,53.60%,0.00%,0.00%,3.753130646,3.753130646
5,25,7,700045,NL001,NL,0,13.58137032,,0.00%,0.00%,13.58137032,13.58137032
5,25,7,700047,IT001,IT,151,135.2511594,10.40%,0.00%,0.00%,15.74884057,-15.74884057
5,25,7,700028,JP001,JP,152,125.3468612,17.50%,0.00%,0.00%,26.65313878,-26.65313878
5,25,8,800001,BR001,BR,0,28738,,1.88%,10.90%,28738,28738
5,25,8,800007,ZA001,ZA,483,567,17.40%,0.01%,0.00%,84,84
5,25,8,800016,IT001,IT,"3,376",2999.82908,11.10%,0.02%,0.10%,376.1709203,-376.1709203
5,25,8,800017,MA001,MA,0,17,,0.00%,0.00%,17,17
5,25,8,800022,IQ001,IQ,"4,878",0,100.00%,0.32%,1.90%,4878,-4878
5,25,8,800024,CZ001,CZ,250,199,20.40%,0.00%,0.00%,51,-51
5,25,8,800025,PL001,PL,670,704,5.10%,0.00%,0.00%,34,34
5,25,8,800026,HU001,HU,266,314,18.00%,0.00%,0.00%,48,48
5,25,8,800059,UA001,UA,0,2794,,0.18%,1.10%,2794,2794
5,25,8,800027,TR001,TR,"9,153",7127,22.10%,0.13%,0.80%,2026,-2026
5,25,8,800028,AT001,AT,27,27.12085405,0.40%,0.00%,0.00%,0.120854053,0.120854053
5,25,8,800029,CH001,CH,444,479.7373693,8.00%,0.00%,0.00%,35.73736931,35.73736931
5,25,8,800030,DK001,DK,128,150.3773955,17.50%,0.00%,0.00%,22.37739551,22.37739551
5,25,8,800030,NO001,NO,237,200,15.60%,0.00%,0.00%,37,-37
5,25,8,800031,FI001,FI,66,78.39353586,18.80%,0.00%,0.00%,12.39353586,12.39353586
5,25,8,800031,SE001,SE,743,764,2.80%,0.00%,0.00%,21,21
5,25,8,800032,FR001,FR,"2,246",2561.817692,14.10%,0.02%,0.10%,315.8176925,315.8176925
5,25,8,800032,FR003,FR,20,126.4851546,532.40%,0.01%,0.00%,106.4851546,106.4851546
5,25,8,800033,GR001,GR,790,740,6.30%,0.00%,0.00%,50,-50
