year,month,PRODUCT_FAMILY,GMID,LOC,Country
2025,7,15,150018,FR001,FR
2025,7,15,150018,FR003,FR
2025,7,15,150019,MX001,MX
2025,7,15,150021,PL001,PL
2025,7,15,150024,CO001,CO
2025,7,15,150025,PR001,PR
2025,7,15,150025,US001,US
2025,7,15,150026,SG002,SG
2025,7,15,150028,TW001,TW
2025,7,15,150029,MY001,MY
2025,7,15,150030,AT001,AT
2025,7,15,150030,DE001,DE
2025,7,15,150031,DE001,DE
2025,7,15,150032,CZ001,CZ
2025,7,15,150033,CA001,CA
2025,7,15,150034,ES001,ES
2025,7,15,150035,PT001,PT
2025,7,15,150036,CO001,CO
2025,7,15,150038,TH001,TH
2025,7,15,150039,GB001,GB
2025,7,15,150041,KR001,KR
2025,7,15,150042,FI001,FI
2025,7,15,150042,SE001,SE
2025,7,15,150043,BR001,BR
2025,7,15,150045,DK001,DK
2025,7,15,150045,NO001,NO
2025,7,15,150047,PR001,PR
2025,7,15,150047,US001,US
2025,7,15,150048,PR001,PR
2025,7,15,150048,US001,US
2025,7,15,150052,IT001,IT
2025,7,15,150054,RO001,RO
2025,7,15,150057,GR001,GR
2025,7,15,150058,FR001,FR
2025,7,15,150058,FR003,FR
2025,7,15,150059,CN001,CN
2025,7,15,150065,BE001,BE
2025,7,15,150182,FR001,FR
2025,7,15,150068,ZA001,ZA
2025,7,15,150069,IL001,IL
2025,7,15,150070,MX001,MX
2025,7,15,150074,FR001,FR
2025,7,15,150074,IT001,IT
2025,7,15,150077,IT001,IT
2025,7,15,150079,CZ001,CZ
2025,7,15,150086,AU001,AU
2025,7,15,150086,NZ001,NZ
2025,7,15,150088,PL001,PL
2025,7,15,150089,SG002,SG
2025,7,15,150090,MY001,MY
2025,7,15,150091,TH001,TH
2025,7,15,150160,IT001,IT
2025,7,15,150093,CN001,CN
2025,7,15,150095,CL001,CL
2025,7,15,150096,CL001,CL
2025,7,15,150100,IL001,IL
2025,7,15,150101,IL001,IL
2025,7,15,150102,KR001,KR
2025,7,15,150105,KR001,KR
2025,7,15,150106,DO001,DO
2025,7,15,150107,GR001,GR
2025,7,15,150108,GR001,GR
2025,7,15,150109,IT001,IT
2025,7,15,150110,EG001,EG
2025,7,15,150110,SA001,SA
2025,7,15,150111,EG001,EG
2025,7,15,150112,BE001,BE
2025,7,15,150112,NL001,NL
2025,7,15,150113,BE001,BE
2025,7,15,150113,NL001,NL
2025,7,15,150114,FR001,FR
2025,7,15,150115,AR001,AR
2025,7,15,150117,AR001,AR
2025,7,15,150161,TR001,TR
2025,7,15,150118,IE001,IE
2025,7,15,150119,GB001,GB
2025,7,15,150119,IE001,IE
2025,7,15,150120,GB001,GB
2025,7,15,150120,IE001,IE
2025,7,15,150120,NL001,NL
2025,7,15,150121,GB001,GB
2025,7,15,150121,IE001,IE
2025,7,15,150121,NL001,NL
2025,7,15,150122,ES001,ES
2025,7,15,150123,ES001,ES
2025,7,15,150124,AT001,AT
2025,7,15,150124,DE001,DE
2025,7,15,150125,AT001,AT
2025,7,15,150125,DE001,DE
2025,7,15,150126,DE001,DE
2025,7,15,150127,DE001,DE
2025,7,15,150128,HK001,HK
2025,7,15,150129,HK001,HK
2025,7,15,150135,TW001,TW
2025,7,15,150162,CA001,CA
2025,7,15,150163,CA001,CA
2025,7,15,150136,GB001,GB
2025,7,15,150164,GB001,GB
2025,7,15,150137,DK001,DK
2025,7,15,150137,IS001,IS
2025,7,15,150137,NO001,NO
2025,7,15,150138,DK001,DK
2025,7,15,150138,IS001,IS
2025,7,15,150138,NO001,NO
2025,7,15,150139,FR001,FR
2025,7,15,150139,FR003,FR
2025,7,15,150140,FR001,FR
2025,7,15,150140,FR003,FR
2025,7,15,150141,PT001,PT
2025,7,15,150142,PT001,PT
2025,7,15,150143,CZ001,CZ
2025,7,15,150143,PL001,PL
2025,7,15,150144,CZ001,CZ
2025,7,15,150144,PL001,PL
2025,7,15,150165,CH001,CH
2025,7,15,150166,CH001,CH
2025,7,15,150145,BE001,BE
2025,7,15,150146,BE001,BE
2025,7,15,150147,BE001,BE
2025,7,15,150148,BE001,BE
2025,7,15,150167,RO001,RO
2025,7,15,150184,AE002,AE
2025,7,15,150184,QA001,QA
2025,7,15,150168,CY001,CY
2025,7,15,150168,GR001,GR
2025,7,15,150168,RO001,RO
2025,7,15,150185,IT001,IT
2025,7,15,150169,FI001,FI
2025,7,15,150169,SE001,SE
2025,7,15,150170,FI001,FI
2025,7,15,150170,SE001,SE
2025,7,15,150171,HU001,HU
2025,7,15,150172,IT001,IT
2025,7,15,150173,IT001,IT
2025,7,15,150174,SA001,SA
2025,7,15,150175,SA001,SA
2025,7,15,150150,JP001,JP
2025,7,15,150151,FR001,FR
2025,7,15,150152,JP001,JP
2025,7,15,150186,RU001,RU
2025,7,15,150187,RU001,RU
2025,7,15,150177,JP001,JP
2025,7,15,150178,ZA001,ZA
2025,7,15,150181,HU001,HU
2025,7,9,900001,TW001,TW
2025,7,9,900002,AU001,AU
2025,7,9,900002,NZ001,NZ
2025,7,9,900003,KR001,KR
2025,7,9,900004,HK001,HK
2025,7,9,900007,ZA001,ZA
2025,7,9,900009,JP001,JP
2025,7,4,400001,AU001,AU
2025,7,4,400003,AU001,AU
2025,7,4,400005,AU001,AU
2025,7,4,400006,US001,US
2025,7,4,400009,US001,US
2025,7,4,400010,US001,US
2025,7,4,400011,US001,US
2025,7,4,400012,US001,US
2025,7,4,400013,US001,US
2025,7,4,400014,US001,US
2025,7,4,400015,US001,US
2025,7,4,400016,US001,US
2025,7,4,400017,US001,US
2025,7,4,400024,KR001,KR
2025,7,4,400027,KR001,KR
2025,7,4,400042,TW001,TW
2025,7,4,400043,TW001,TW
2025,7,4,400028,JP001,JP
2025,7,4,400029,JP001,JP
2025,7,4,400030,JP001,JP
2025,7,4,400031,JP001,JP
2025,7,4,400032,JP001,JP
2025,7,4,400033,JP001,JP
2025,7,4,400034,JP001,JP
2025,7,4,400035,JP001,JP
2025,7,4,400038,CA001,CA
2025,7,4,400039,CA001,CA
2025,7,4,400040,CA001,CA
2025,7,4,400045,AU001,AU
2025,7,4,400049,AU001,AU
2025,7,4,400050,HK001,HK
2025,7,4,400051,HK001,HK
2025,7,17,170079,BR001,BR
2025,7,17,170006,IT001,IT
2025,7,17,170008,AT001,AT
2025,7,17,170009,FR001,FR
2025,7,17,170010,DE001,DE
2025,7,17,170011,PT001,PT
2025,7,17,170012,ES001,ES
2025,7,17,170013,CH001,CH
2025,7,17,170014,HU001,HU
2025,7,17,170015,TR001,TR
2025,7,17,170016,DE001,DE
2025,7,17,170017,FI001,FI
2025,7,17,170017,SE001,SE
2025,7,17,170018,GR001,GR
2025,7,17,170019,GB001,GB
2025,7,17,170021,RO001,RO
2025,7,17,170022,DE001,DE
2025,7,17,170023,PL001,PL
2025,7,17,170024,DK001,DK
2025,7,17,170024,IS001,IS
2025,7,17,170024,NO001,NO
2025,7,17,170026,AT001,AT
2025,7,17,170027,PT001,PT
2025,7,17,170028,ES001,ES
2025,7,17,170029,FI001,FI
2025,7,17,170029,SE001,SE
2025,7,17,170030,DE001,DE
2025,7,17,170031,HU001,HU
2025,7,17,170032,DK001,DK
2025,7,17,170032,IS001,IS
2025,7,17,170032,NO001,NO
2025,7,17,170033,GR001,GR
2025,7,17,170034,DE001,DE
2025,7,17,170035,GB001,GB
2025,7,17,170036,ZA001,ZA
2025,7,17,170037,ZA001,ZA
2025,7,17,170038,IL001,IL
2025,7,17,170039,AE002,AE
2025,7,17,170039,EG001,EG
2025,7,17,170039,IE001,IE
2025,7,17,170039,OM001,OM
2025,7,17,170040,IE001,IE
2025,7,17,170042,SA001,SA
2025,7,17,170044,PL001,PL
2025,7,17,170046,CH001,CH
2025,7,17,170047,US001,US
2025,7,17,170048,US001,US
2025,7,17,170050,BE001,BE
2025,7,17,170050,NL001,NL
2025,7,17,170051,BE001,BE
2025,7,17,170051,NL001,NL
2025,7,17,170082,TH001,TH
2025,7,17,170053,SG002,SG
2025,7,17,170054,SG002,SG
2025,7,17,170055,TW001,TW
2025,7,17,170056,HK001,HK
2025,7,17,170057,HK001,HK
2025,7,17,170058,CA001,CA
2025,7,17,170059,CA001,CA
2025,7,17,170060,CO001,CO
2025,7,17,170061,CO001,CO
2025,7,17,170062,PE001,PE
2025,7,17,170064,MX001,MX
2025,7,17,170066,CL001,CL
2025,7,17,170067,AR001,AR
2025,7,17,170068,AR001,AR
2025,7,17,170068,PY001,PY
2025,7,17,170069,KR001,KR
2025,7,17,170071,BR001,BR
2025,7,17,170072,SV001,SV
2025,7,17,170074,AU001,AU
2025,7,17,170075,AU001,AU
2025,7,17,170076,JP001,JP
2025,7,17,170077,JP001,JP
2025,7,5,500001,US001,US
2025,7,5,500002,US001,US
2025,7,14,140001,CA001,CA
2025,7,14,140002,US001,US
2025,7,14,140003,PR001,PR
2025,7,14,140003,US001,US
2025,7,14,140004,AT001,AT
2025,7,14,140004,DE001,DE
2025,7,14,140005,DE001,DE
2025,7,14,140006,AT001,AT
2025,7,14,140006,DE001,DE
2025,7,14,140006,FI001,FI
2025,7,14,140007,DE001,DE
2025,7,14,140008,DE001,DE
2025,7,14,140009,DE001,DE
2025,7,14,140011,BE001,BE
2025,7,14,140012,BE001,BE
2025,7,14,140013,GB001,GB
2025,7,14,140014,GB001,GB
2025,7,14,140015,GB001,GB
2025,7,14,140016,ES001,ES
2025,7,14,140017,DK001,DK
2025,7,14,140017,FI001,FI
2025,7,14,140017,SE001,SE
2025,7,14,140018,FI001,FI
2025,7,14,140018,SE001,SE
2025,7,14,140019,CH001,CH
2025,7,14,140020,CH001,CH
2025,7,14,140021,ES001,ES
2025,7,14,140022,ES001,ES
2025,7,14,140023,CH001,CH
