Month-Year,PRODUCT_FAMILY,GMID,LOC,Country,Sales,Forecast,MAPE,MAPE_Impact,MAPE_Contribution,Absolute Error,Non Absolute Error
23-Oct,16,160028,BR001,BR,170,543,219.40%,0.04%,0.10%,373,373
23-Nov,16,160028,BR001,BR,173,491,183.80%,0.03%,0.20%,318,318
23-Dec,16,160028,BR001,BR,84,649,672.60%,0.05%,0.20%,565,565
23-Jul,16,160029,BR001,BR,170,726,327.10%,0.05%,0.30%,556,556
23-Aug,16,160029,BR001,BR,119,911,665.50%,0.07%,0.40%,792,792
23-Sep,16,160029,BR001,BR,890,764,14.20%,0.01%,0.10%,126,-126
23-Oct,16,160029,BR001,BR,570,1097,92.50%,0.05%,0.20%,527,527
23-Nov,16,160029,BR001,BR,255,965,278.40%,0.07%,0.40%,710,710
23-Dec,16,160029,BR001,BR,68,721,960.30%,0.06%,0.30%,653,653
23-Jul,16,160030,TW001,TW,6,60,900.00%,0.01%,0.00%,54,54
23-Aug,16,160030,TW001,TW,2,3,50.00%,0.00%,0.00%,1,1
23-Sep,16,160030,TW001,TW,0,3,,0.00%,0.00%,3,3
23-Oct,16,160030,TW001,TW,3,3,0.00%,0.00%,0.00%,0,0
23-Nov,16,160030,TW001,TW,3,3,0.00%,0.00%,0.00%,0,0
23-Dec,16,160030,TW001,TW,0,5,,0.00%,0.00%,5,5
23-Dec,16,160031,CY001,CY,12,0,100.00%,0.00%,0.00%,12,-12
23-Jul,16,160031,GR001,GR,81,126,55.60%,0.00%,0.00%,45,45
23-Aug,16,160031,GR001,GR,1,110,10900.00%,0.01%,0.10%,109,109
23-Sep,16,160031,GR001,GR,8,0,100.00%,0.00%,0.00%,8,-8
23-Oct,16,160031,GR001,GR,260,79,69.60%,0.02%,0.10%,181,-181
23-Nov,16,160031,GR001,GR,122,175,43.40%,0.01%,0.00%,53,53
23-Dec,16,160031,GR001,GR,123,170,38.20%,0.00%,0.00%,47,47
23-Dec,16,160032,CY001,CY,24,0,100.00%,0.00%,0.00%,24,-24
23-Oct,16,160032,GR001,GR,272,147,46.00%,0.01%,0.00%,125,-125
23-Nov,16,160032,GR001,GR,125,175,40.00%,0.00%,0.00%,50,50
23-Dec,16,160032,GR001,GR,142,170,19.70%,0.00%,0.00%,28,28
23-Jul,16,160033,ES001,ES,"1,229",956,22.20%,0.03%,0.20%,273,-273
23-Aug,16,160033,ES001,ES,"1,148",992,13.60%,0.01%,0.10%,156,-156
23-Sep,16,160033,ES001,ES,"1,062",1179,11.00%,0.01%,0.10%,117,117
23-Oct,16,160033,ES001,ES,"1,235",1224,0.90%,0.00%,0.00%,11,-11
23-Nov,16,160033,ES001,ES,"1,325",1321,0.30%,0.00%,0.00%,4,-4
23-Dec,16,160033,ES001,ES,"1,049",1522,45.10%,0.04%,0.20%,473,473
23-Jul,16,160034,ES001,ES,"1,868",1911,2.30%,0.00%,0.00%,43,43
23-Aug,16,160034,ES001,ES,"2,009",1923,4.30%,0.01%,0.00%,86,-86
23-Sep,16,160034,ES001,ES,"1,861",2209,18.70%,0.04%,0.20%,348,348
23-Oct,16,160034,ES001,ES,"1,834",2299,25.40%,0.04%,0.20%,465,465
23-Nov,16,160034,ES001,ES,"1,882",2391,27.00%,0.05%,0.30%,509,509
23-Dec,16,160034,ES001,ES,"1,584",2470,55.90%,0.08%,0.40%,886,886
23-Jul,16,160035,PT001,PT,93,90,3.20%,0.00%,0.00%,3,-3
23-Aug,16,160035,PT001,PT,92,110,19.60%,0.00%,0.00%,18,18
23-Sep,16,160035,PT001,PT,51,110,115.70%,0.01%,0.00%,59,59
23-Oct,16,160035,PT001,PT,71,135,90.10%,0.01%,0.00%,64,64
23-Nov,16,160035,PT001,PT,63,176,179.40%,0.01%,0.10%,113,113
23-Dec,16,160035,PT001,PT,97,202,108.20%,0.01%,0.00%,105,105
23-Jul,16,160036,PT001,PT,62,45,27.40%,0.00%,0.00%,17,-17
23-Aug,16,160036,PT001,PT,68,50,26.50%,0.00%,0.00%,18,-18
23-Sep,16,160036,PT001,PT,59,82,39.00%,0.00%,0.00%,23,23
23-Oct,16,160036,PT001,PT,0,90,,0.01%,0.00%,90,90
23-Nov,16,160036,PT001,PT,0,95,,0.01%,0.10%,95,95
23-Dec,16,160036,PT001,PT,93,110,18.30%,0.00%,0.00%,17,17
23-Jul,16,160037,MX001,MX,51,48,5.90%,0.00%,0.00%,3,-3
23-Aug,16,160037,MX001,MX,92,48,47.80%,0.00%,0.00%,44,-44
23-Sep,16,160037,MX001,MX,76,52,31.60%,0.00%,0.00%,24,-24
23-Oct,16,160037,MX001,MX,111,56,49.50%,0.01%,0.00%,55,-55
23-Nov,16,160037,MX001,MX,99,56,43.40%,0.00%,0.00%,43,-43
23-Dec,16,160037,MX001,MX,71,41,42.30%,0.00%,0.00%,30,-30
23-Jul,16,160038,MX001,MX,81,90,11.10%,0.00%,0.00%,9,9
23-Aug,16,160038,MX001,MX,140,88,37.10%,0.00%,0.00%,52,-52
23-Sep,16,160038,MX001,MX,94,92,2.10%,0.00%,0.00%,2,-2
23-Oct,16,160038,MX001,MX,119,115,3.40%,0.00%,0.00%,4,-4
23-Nov,16,160038,MX001,MX,114,121,6.10%,0.00%,0.00%,7,7
23-Dec,16,160038,MX001,MX,68,148,117.60%,0.01%,0.00%,80,80
23-Jul,16,160039,AE002,AE,0,54,,0.01%,0.00%,54,54
23-Aug,16,160039,AE002,AE,30,0,100.00%,0.00%,0.00%,30,-30
23-Sep,16,160039,AE002,AE,20,227,1035.00%,0.02%,0.10%,207,207
23-Oct,16,160039,AE002,AE,40,28,,0.00%,0.00%,28,28
23-Nov,16,160039,AE002,AE,75,20,73.30%,0.01%,0.00%,55,-55
23-Dec,16,160039,AE002,AE,0,59.16666667,,0.01%,0.00%,59.16666667,59.16666667
23-Sep,16,160039,JO001,JO,2,0,100.00%,0.00%,0.00%,2,-2
23-Oct,16,160039,KW001,KW,0,24,,0.00%,0.00%,24,24
23-Nov,16,160039,KW001,KW,48,0,100.00%,0.00%,0.00%,48,-48
23-Sep,16,160039,OM001,OM,56,0,100.00%,0.01%,0.00%,56,-56
23-Sep,16,160039,QA001,QA,0,28,,0.00%,0.00%,28,28
23-Oct,16,160039,QA001,QA,40,0,100.00%,0.00%,0.00%,40,-40
23-Jul,16,160039,SA001,SA,0,52,,0.00%,0.00%,52,52
23-Aug,16,160039,SA001,SA,54,0,100.00%,0.01%,0.00%,54,-54
23-Sep,16,160039,SA001,SA,0,115,,0.01%,0.10%,115,115
23-Oct,16,160039,SA001,SA,0,115,,0.01%,0.00%,115,115
23-Nov,16,160039,SA001,SA,20,70,250.00%,0.00%,0.00%,50,50
23-Jul,16,160040,AE002,AE,0,28.83333333,,0.00%,0.00%,28.83333333,28.83333333
23-Aug,16,160040,AE002,AE,52,20,61.50%,0.00%,0.00%,32,-32
23-Sep,16,160040,AE002,AE,27,30.16666667,11.70%,0.00%,0.00%,3.166666667,3.166666667
23-Oct,16,160040,AE002,AE,20,20.33333333,,0.00%,0.00%,20.33333333,20.33333333
23-Nov,16,160040,AE002,AE,55,26,52.70%,0.00%,0.00%,29,-29
23-Dec,16,160040,AE002,AE,45,43,4.40%,0.00%,0.00%,2,-2
23-Sep,16,160040,JO001,JO,2,0,100.00%,0.00%,0.00%,2,-2
23-Nov,16,160040,KW001,KW,42,84,100.00%,0.00%,0.00%,42,42
23-Sep,16,160040,OM001,OM,14,0,100.00%,0.00%,0.00%,14,-14
23-Sep,16,160040,QA001,QA,0,34,,0.00%,0.00%,34,34
23-Oct,16,160040,QA001,QA,20,22,10.00%,0.00%,0.00%,2,2
23-Jul,16,160040,SA001,SA,0,96,,0.01%,0.10%,96,96
23-Aug,16,160040,SA001,SA,122,10,91.80%,0.01%,0.10%,112,-112
23-Sep,16,160040,SA001,SA,183,120,34.40%,0.01%,0.00%,63,-63
23-Oct,16,160040,SA001,SA,107,210,96.30%,0.01%,0.00%,103,103
23-Nov,16,160040,SA001,SA,126,162,28.60%,0.00%,0.00%,36,36
23-Dec,16,160040,SA001,SA,0,162,,0.02%,0.10%,162,162
23-Jul,16,160041,AR001,AR,193,290,50.30%,0.01%,0.10%,97,97
23-Aug,16,160041,AR001,AR,231,300,29.90%,0.01%,0.00%,69,69
23-Sep,16,160041,AR001,AR,332,310,6.60%,0.00%,0.00%,22,-22
23-Oct,16,160041,AR001,AR,252,330,31.00%,0.01%,0.00%,78,78
23-Nov,16,160041,AR001,AR,183,293,60.10%,0.01%,0.10%,110,110
23-Dec,16,160041,AR001,AR,226,311,37.60%,0.01%,0.00%,85,85
23-Jul,16,160042,AR001,AR,110,150,36.40%,0.00%,0.00%,40,40
23-Aug,16,160042,AR001,AR,122,160,31.10%,0.00%,0.00%,38,38
23-Sep,16,160042,AR001,AR,171,170,0.60%,0.00%,0.00%,1,-1
23-Oct,16,160042,AR001,AR,125,200,60.00%,0.01%,0.00%,75,75
23-Nov,16,160042,AR001,AR,118,166,40.70%,0.00%,0.00%,48,48
23-Dec,16,160042,AR001,AR,135,178,31.90%,0.00%,0.00%,43,43
23-Jul,16,160043,HU001,HU,0,40,,0.00%,0.00%,40,40
23-Aug,16,160043,HU001,HU,0,48,,0.00%,0.00%,48,48
23-Sep,16,160043,HU001,HU,0,7,,0.00%,0.00%,7,7
23-Oct,16,160043,HU001,HU,0,15,,0.00%,0.00%,15,15
23-Nov,16,160043,HU001,HU,0,24,,0.00%,0.00%,24,24
23-Dec,16,160043,HU001,HU,0,39,,0.00%,0.00%,39,39
23-Jul,16,160043,RO001,RO,6,11.07692308,84.60%,0.00%,0.00%,5.076923077,5.076923077
23-Aug,16,160043,RO001,RO,6,12,100.00%,0.00%,0.00%,6,6
23-Sep,16,160043,RO001,RO,6,36,500.00%,0.00%,0.00%,30,30
23-Oct,16,160043,RO001,RO,6,12,100.00%,0.00%,0.00%,6,6
23-Nov,16,160043,RO001,RO,0,36,,0.00%,0.00%,36,36
23-Dec,16,160043,RO001,RO,6,5.538461538,7.70%,0.00%,0.00%,0.461538462,-0.461538462
23-Jul,16,160044,HU001,HU,0,19,,0.00%,0.00%,19,19
23-Aug,16,160044,HU001,HU,0,21,,0.00%,0.00%,21,21
23-Sep,16,160044,HU001,HU,0,4,,0.00%,0.00%,4,4
23-Oct,16,160044,HU001,HU,0,7,,0.00%,0.00%,7,7
23-Nov,16,160044,HU001,HU,0,12,,0.00%,0.00%,12,12
23-Dec,16,160044,HU001,HU,0,20,,0.00%,0.00%,20,20
23-Jul,16,160044,RO001,RO,2,5.538461538,176.90%,0.00%,0.00%,3.538461538,3.538461538
23-Aug,16,160044,RO001,RO,2,7.384615385,269.20%,0.00%,0.00%,5.384615385,5.384615385
23-Sep,16,160044,RO001,RO,2,17.53846154,776.90%,0.00%,0.00%,15.53846154,15.53846154
23-Oct,16,160044,RO001,RO,2,7.384615385,269.20%,0.00%,0.00%,5.384615385,5.384615385
23-Nov,16,160044,RO001,RO,0,17.53846154,,0.00%,0.00%,17.53846154,17.53846154
23-Dec,16,160044,RO001,RO,2,1.846153846,7.70%,0.00%,0.00%,0.153846154,-0.153846154
23-Jul,16,160045,BE001,BE,2,0,100.00%,0.00%,0.00%,2,-2
23-Jul,16,160046,BE001,BE,8,0,100.00%,0.00%,0.00%,8,-8
23-Jul,16,160047,HK001,HK,2,20,900.00%,0.00%,0.00%,18,18
23-Aug,16,160047,HK001,HK,10,26,160.00%,0.00%,0.00%,16,16
23-Sep,16,160047,HK001,HK,10,38,280.00%,0.00%,0.00%,28,28
23-Oct,16,160047,HK001,HK,40,38,5.00%,0.00%,0.00%,2,-2
23-Nov,16,160047,HK001,HK,24,35,45.80%,0.00%,0.00%,11,11
23-Dec,16,160047,HK001,HK,6,39,550.00%,0.00%,0.00%,33,33
23-Jul,16,160048,HK001,HK,4,20,400.00%,0.00%,0.00%,16,16
23-Aug,16,160048,HK001,HK,18,26,44.40%,0.00%,0.00%,8,8
23-Sep,16,160048,HK001,HK,6,38,533.30%,0.00%,0.00%,32,32
23-Oct,16,160048,HK001,HK,41,38,7.30%,0.00%,0.00%,3,-3
23-Nov,16,160048,HK001,HK,22,35,59.10%,0.00%,0.00%,13,13
23-Dec,16,160048,HK001,HK,28,37,32.10%,0.00%,0.00%,9,9
23-Aug,16,160049,RU001,RU,420,0,100.00%,0.04%,0.20%,420,-420
23-Jul,16,160050,SG002,SG,3,3.222473449,7.40%,0.00%,0.00%,0.222473449,0.222473449
23-Aug,16,160050,SG002,SG,0,80.56074537,,0.01%,0.00%,80.56074537,80.56074537
23-Sep,16,160050,SG002,SG,0,81.03489274,,0.01%,0.00%,81.03489274,81.03489274
23-Jul,16,160051,SG002,SG,18,16,11.10%,0.00%,0.00%,2,-2
23-Aug,16,160051,SG002,SG,18,85.584,375.50%,0.01%,0.00%,67.584,67.584
23-Sep,16,160051,SG002,SG,15,46,206.70%,0.00%,0.00%,31,31
23-Oct,16,160051,SG002,SG,17,38,123.50%,0.00%,0.00%,21,21
23-Nov,16,160051,SG002,SG,46,44,4.30%,0.00%,0.00%,2,-2
23-Dec,16,160051,SG002,SG,38,8,78.90%,0.00%,0.00%,30,-30
23-Aug,16,160052,TR001,TR,0,360,,0.03%,0.20%,360,360
23-Sep,16,160052,TR001,TR,69,0,100.00%,0.01%,0.00%,69,-69
23-Oct,16,160052,TR001,TR,30,0,100.00%,0.00%,0.00%,30,-30
23-Nov,16,160052,TR001,TR,9,0,100.00%,0.00%,0.00%,9,-9
23-Dec,16,160052,TR001,TR,16,0,100.00%,0.00%,0.00%,16,-16
23-Aug,16,160053,TR001,TR,0,168,,0.02%,0.10%,168,168
23-Sep,16,160053,TR001,TR,34,0,100.00%,0.00%,0.00%,34,-34
23-Oct,16,160053,TR001,TR,12,0,100.00%,0.00%,0.00%,12,-12
23-Nov,16,160053,TR001,TR,5,0,100.00%,0.00%,0.00%,5,-5
23-Dec,16,160053,TR001,TR,6,0,100.00%,0.00%,0.00%,6,-6
23-Jul,16,160054,JP001,JP,"3,865",3810,1.40%,0.01%,0.00%,55,-55
23-Aug,16,160054,JP001,JP,"4,323",3788,12.40%,0.05%,0.30%,535,-535
23-Sep,16,160054,JP001,JP,"3,909",3837,1.80%,0.01%,0.00%,72,-72
23-Oct,16,160054,JP001,JP,"4,903",3853,21.40%,0.10%,0.40%,1050,-1050
23-Nov,16,160054,JP001,JP,"4,747",4362,8.10%,0.04%,0.20%,385,-385
23-Dec,16,160054,JP001,JP,"4,756",4400,7.50%,0.03%,0.10%,356,-356
23-Jul,16,160055,JP001,JP,"2,980",2877,3.50%,0.01%,0.10%,103,-103
23-Aug,16,160055,JP001,JP,"3,368",2739,18.70%,0.06%,0.30%,629,-629
23-Sep,16,160055,JP001,JP,"3,027",2934,3.10%,0.01%,0.10%,93,-93
23-Oct,16,160055,JP001,JP,"3,884",3085,20.60%,0.08%,0.30%,799,-799
23-Nov,16,160055,JP001,JP,"3,415",3358,1.70%,0.01%,0.00%,57,-57
23-Dec,16,160055,JP001,JP,"3,515",3600,2.40%,0.01%,0.00%,85,85
24-Jan,6,600001,KR001,KR,850,876,3.10%,0.00%,0.00%,26,26
24-Feb,6,600001,KR001,KR,746,876,17.40%,0.01%,0.10%,130,130
24-Mar,6,600001,KR001,KR,747,876,17.30%,0.01%,0.00%,129,129
24-Apr,6,600001,KR001,KR,762,836,9.70%,0.01%,0.00%,74,74
24-May,6,600001,KR001,KR,821,836,1.80%,0.00%,0.00%,15,15
24-Jun,6,600001,KR001,KR,871,836,4.00%,0.00%,0.00%,35,-35
24-Jul,6,600001,KR001,KR,799,796,0.40%,0.00%,0.00%,3,-3
24-Aug,6,600001,KR001,KR,747,796,6.60%,0.00%,0.00%,49,49
24-Sep,6,600001,KR001,KR,959,836,12.80%,0.01%,0.00%,123,-123
24-Oct,6,600001,KR001,KR,719,836,16.30%,0.01%,0.00%,117,117
24-Nov,6,600001,KR001,KR,714,846,18.50%,0.01%,0.00%,132,132
24-Dec,6,600001,KR001,KR,966,846,12.40%,0.01%,0.00%,120,-120
24-Jan,6,600002,HK001,HK,98,59,39.80%,0.00%,0.00%,39,-39
24-Feb,6,600002,HK001,HK,56,47,16.10%,0.00%,0.00%,9,-9
24-Mar,6,600002,HK001,HK,0,47,,0.00%,0.00%,47,47
24-Apr,6,600002,HK001,HK,98,47,52.00%,0.00%,0.00%,51,-51
24-May,6,600002,HK001,HK,84,59,29.80%,0.00%,0.00%,25,-25
24-Jun,6,600002,HK001,HK,28,57,103.60%,0.00%,0.00%,29,29
24-Jul,6,600002,HK001,HK,105,57,45.70%,0.00%,0.00%,48,-48
24-Aug,6,600002,HK001,HK,21,95,352.40%,0.01%,0.00%,74,74
24-Sep,6,600002,HK001,HK,109,60.51826813,44.50%,0.00%,0.00%,48.48173187,-48.48173187
24-Oct,6,600002,HK001,HK,28,55.58560652,98.50%,0.00%,0.00%,27.58560652,27.58560652
24-Nov,6,600002,HK001,HK,95,63.92325887,32.70%,0.00%,0.00%,31.07674113,-31.07674113
24-Dec,6,600002,HK001,HK,107,58.12485247,45.70%,0.00%,0.00%,48.87514753,-48.87514753
24-Jan,6,600003,CA001,CA,"1,114",837.1797884,24.80%,0.03%,0.10%,276.8202116,-276.8202116
24-Feb,6,600003,CA001,CA,991,830.6599189,16.20%,0.01%,0.10%,160.3400811,-160.3400811
24-Mar,6,600003,CA001,CA,710,831.2765486,17.10%,0.01%,0.00%,121.2765486,121.2765486
24-Apr,6,600003,CA001,CA,"1,041",811.9612894,22.00%,0.02%,0.10%,229.0387106,-229.0387106
24-May,6,600003,CA001,CA,993,1119.421752,12.70%,0.01%,0.00%,126.421752,126.421752
24-Jun,6,600003,CA001,CA,982,834.1293574,15.10%,0.01%,0.10%,147.8706426,-147.8706426
24-Jul,6,600003,CA001,CA,908,838.4265481,7.70%,0.01%,0.00%,69.57345192,-69.57345192
24-Aug,6,600003,CA001,CA,976,924.5516421,5.30%,0.00%,0.00%,51.44835794,-51.44835794
24-Sep,6,600003,CA001,CA,868,924.9408166,6.60%,0.00%,0.00%,56.9408166,56.9408166
24-Oct,6,600003,CA001,CA,"1,028",906.1828841,11.80%,0.01%,0.00%,121.8171159,-121.8171159
24-Nov,6,600003,CA001,CA,"1,204",906.0701829,24.70%,0.02%,0.10%,297.9298171,-297.9298171
24-Dec,6,600003,CA001,CA,316,834.8841675,164.20%,0.04%,0.20%,518.8841675,518.8841675
24-Jan,6,600004,MY001,MY,49,9,81.60%,0.00%,0.00%,40,-40
24-Mar,6,600004,MY001,MY,0,100,,0.01%,0.00%,100,100
24-Jun,6,600004,MY001,MY,49,0,100.00%,0.00%,0.00%,49,-49
24-Aug,6,600004,MY001,MY,76,0,100.00%,0.01%,0.00%,76,-76
24-Sep,6,600004,MY001,MY,0,111,,0.01%,0.00%,111,111
24-Nov,6,600004,MY001,MY,182,111,39.00%,0.01%,0.00%,71,-71
24-Jan,6,600005,AU001,AU,375,395,5.30%,0.00%,0.00%,20,20
24-Feb,6,600005,AU001,AU,377,395,4.80%,0.00%,0.00%,18,18
24-Mar,6,600005,AU001,AU,421,395,6.20%,0.00%,0.00%,26,-26
24-Apr,6,600005,AU001,AU,456,395,13.40%,0.00%,0.00%,61,-61
24-May,6,600005,AU001,AU,277,300,8.30%,0.00%,0.00%,23,23
24-Jun,6,600005,AU001,AU,492,514,4.50%,0.00%,0.00%,22,22
24-Jul,6,600005,AU001,AU,414,400,3.40%,0.00%,0.00%,14,-14
24-Aug,6,600005,AU001,AU,386,407,5.40%,0.00%,0.00%,21,21
24-Sep,6,600005,AU001,AU,379,407,7.40%,0.00%,0.00%,28,28
24-Oct,6,600005,AU001,AU,349,407,16.60%,0.00%,0.00%,58,58
24-Nov,6,600005,AU001,AU,427,407,4.70%,0.00%,0.00%,20,-20
24-Dec,6,600005,AU001,AU,390,407,4.40%,0.00%,0.00%,17,17
24-Apr,6,600005,NZ001,NZ,12,0,100.00%,0.00%,0.00%,12,-12
24-May,6,600005,NZ001,NZ,24,0,100.00%,0.00%,0.00%,24,-24
24-Aug,6,600005,NZ001,NZ,0,12,,0.00%,0.00%,12,12
24-Sep,6,600005,NZ001,NZ,0,12,,0.00%,0.00%,12,12
24-Jan,6,600006,MX001,MX,"2,224",1400,37.10%,0.07%,0.30%,824,-824
24-Feb,6,600006,MX001,MX,"1,424",1414,0.70%,0.00%,0.00%,10,-10
24-Mar,6,600006,MX001,MX,"1,907",1807,5.20%,0.01%,0.00%,100,-100
24-Apr,6,600006,MX001,MX,"1,160",1850,59.50%,0.05%,0.30%,690,690
24-May,6,600006,MX001,MX,"2,345",1947,17.00%,0.03%,0.20%,398,-398
24-Jun,6,600006,MX001,MX,"1,057",1804,70.70%,0.06%,0.40%,747,747
24-Jul,6,600006,MX001,MX,"1,988",1834,7.70%,0.01%,0.10%,154,-154
24-Aug,6,600006,MX001,MX,"2,302",1826,20.70%,0.04%,0.20%,476,-476
24-Sep,6,600006,MX001,MX,"2,175",2017,7.30%,0.01%,0.10%,158,-158
24-Oct,6,600006,MX001,MX,"1,907",2115,10.90%,0.01%,0.10%,208,208
24-Nov,6,600006,MX001,MX,"1,880",1711,9.00%,0.01%,0.10%,169,-169
24-Dec,6,600006,MX001,MX,889,1035,16.40%,0.01%,0.00%,146,146
24-Jan,6,600007,AR001,AR,542,0,100.00%,0.05%,0.20%,542,-542
24-Feb,6,600007,AR001,AR,666,0,100.00%,0.06%,0.30%,666,-666
24-Mar,6,600007,AR001,AR,362,0,100.00%,0.03%,0.10%,362,-362
24-Apr,6,600007,AR001,AR,411,0,100.00%,0.03%,0.20%,411,-411
24-May,6,600007,AR001,AR,672,0,100.00%,0.05%,0.30%,672,-672
24-Jun,6,600007,AR001,AR,672,0,100.00%,0.05%,0.40%,672,-672
24-Jul,6,600007,AR001,AR,639,0,100.00%,0.05%,0.30%,639,-639
24-Aug,6,600007,AR001,AR,419,0,100.00%,0.03%,0.20%,419,-419
24-Sep,6,600007,AR001,AR,458,0,100.00%,0.04%,0.20%,458,-458
24-Oct,6,600007,AR001,AR,682,0,100.00%,0.05%,0.20%,682,-682
24-Nov,6,600007,AR001,AR,718,0,100.00%,0.06%,0.30%,718,-718
24-Dec,6,600007,AR001,AR,594,0,100.00%,0.05%,0.20%,594,-594
24-Mar,6,600007,US001,US,84,0,100.00%,0.01%,0.00%,84,-84
24-Apr,6,600007,UY001,UY,64,28,56.30%,0.00%,0.00%,36,-36
24-May,6,600007,UY001,UY,0,28,,0.00%,0.00%,28,28
24-Jun,6,600007,UY001,UY,32,28,12.50%,0.00%,0.00%,4,-4
24-Jul,6,600007,UY001,UY,0,28,,0.00%,0.00%,28,28
24-Aug,6,600007,UY001,UY,32,28,12.50%,0.00%,0.00%,4,-4
24-Sep,6,600007,UY001,UY,0,28,,0.00%,0.00%,28,28
24-Oct,6,600007,UY001,UY,32,28,12.50%,0.00%,0.00%,4,-4
24-Nov,6,600007,UY001,UY,0,28,,0.00%,0.00%,28,28
24-Dec,6,600007,UY001,UY,32,28,12.50%,0.00%,0.00%,4,-4
24-Jan,6,600008,CO001,CO,413,259,37.30%,0.01%,0.10%,154,-154
24-Feb,6,600008,CO001,CO,308,268,13.00%,0.00%,0.00%,40,-40
24-Mar,6,600008,CO001,CO,409,476,16.40%,0.01%,0.00%,67,67
24-Apr,6,600008,CO001,CO,162,297,83.30%,0.01%,0.10%,135,135
24-May,6,600008,CO001,CO,428,302,29.40%,0.01%,0.00%,126,-126
24-Jun,6,600008,CO001,CO,515,289,43.90%,0.02%,0.10%,226,-226
24-Jul,6,600008,CO001,CO,421,258,38.70%,0.01%,0.10%,163,-163
24-Aug,6,600008,CO001,CO,372,257,30.90%,0.01%,0.00%,115,-115
24-Sep,6,600008,CO001,CO,355,258,27.30%,0.01%,0.00%,97,-97
24-Oct,6,600008,CO001,CO,392,198,49.50%,0.01%,0.10%,194,-194
24-Nov,6,600008,CO001,CO,598,63,89.50%,0.04%,0.20%,535,-535
24-Dec,6,600008,CO001,CO,489,336,31.30%,0.01%,0.00%,153,-153
24-Aug,6,600009,GT001,GT,0,600,,0.05%,0.20%,600,600
24-Jan,6,600010,CL001,CL,224,390,74.10%,0.02%,0.10%,166,166
24-Feb,6,600010,CL001,CL,391,360,7.90%,0.00%,0.00%,31,-31
24-Mar,6,600010,CL001,CL,363,360,0.80%,0.00%,0.00%,3,-3
24-Apr,6,600010,CL001,CL,315,390,23.80%,0.01%,0.00%,75,75
24-May,6,600010,CL001,CL,302,390,29.10%,0.01%,0.00%,88,88
24-Jun,6,600010,CL001,CL,408,390,4.40%,0.00%,0.00%,18,-18
24-Jul,6,600010,CL001,CL,455,390,14.30%,0.00%,0.00%,65,-65
24-Aug,6,600010,CL001,CL,274,396,44.50%,0.01%,0.00%,122,122
24-Sep,6,600010,CL001,CL,462,400,13.40%,0.00%,0.00%,62,-62
24-Oct,6,600010,CL001,CL,437,400,8.50%,0.00%,0.00%,37,-37
24-Nov,6,600010,CL001,CL,479,400,16.50%,0.01%,0.00%,79,-79
24-Dec,6,600010,CL001,CL,525,400,23.80%,0.01%,0.00%,125,-125
24-Apr,6,600011,CAR01,CA,300,300,0.00%,0.00%,0.00%,0,0
24-Aug,6,600011,CAR01,CA,0,300,,0.02%,0.10%,300,300
24-Dec,6,600011,CAR01,CA,0,150,,0.01%,0.00%,150,150
24-Jan,6,600011,US001,US,"7,400",7133.707281,3.60%,0.02%,0.10%,266.2927195,-266.2927195
24-Feb,6,600011,US001,US,"6,828",7169.427425,5.00%,0.03%,0.20%,341.4274252,341.4274252
24-Mar,6,600011,US001,US,"7,659",8308.899502,8.50%,0.06%,0.20%,649.8995023,649.8995023
24-Apr,6,600011,US001,US,"7,540",8347.577514,10.70%,0.06%,0.40%,807.577514,807.577514
24-May,6,600011,US001,US,"7,171",7347.332191,2.50%,0.01%,0.10%,176.3321913,176.3321913
24-Jun,6,600011,US001,US,"7,062",7097.397466,0.50%,0.00%,0.00%,35.39746593,35.39746593
24-Jul,6,600011,US001,US,"8,074",7974.355342,1.20%,0.01%,0.00%,99.6446583,-99.6446583
24-Aug,6,600011,US001,US,"6,484",7209.450004,11.20%,0.06%,0.30%,725.4500039,725.4500039
24-Sep,6,600011,US001,US,"7,007",7443.269895,6.20%,0.03%,0.20%,436.2698951,436.2698951
24-Oct,6,600011,US001,US,"7,606",8431.769475,10.90%,0.06%,0.30%,825.7694755,825.7694755
24-Nov,6,600011,US001,US,"6,576",6804.010178,3.50%,0.02%,0.10%,228.0101782,228.0101782
24-Dec,6,600011,US001,US,"7,288",8996.909832,23.40%,0.13%,0.50%,1708.909832,1708.909832
24-Jan,6,600012,IT001,IT,"1,642",1570,4.40%,0.01%,0.00%,72,-72
24-Feb,6,600012,IT001,IT,"1,341",1120,16.50%,0.02%,0.10%,221,-221
24-Mar,6,600012,IT001,IT,"1,393",1430,2.70%,0.00%,0.00%,37,37
24-Apr,6,600012,IT001,IT,"1,627",1490,8.40%,0.01%,0.10%,137,-137
24-May,6,600012,IT001,IT,"1,364",1580,15.80%,0.02%,0.10%,216,216
24-Jun,6,600012,IT001,IT,"1,501",1495,0.40%,0.00%,0.00%,6,-6
24-Jul,6,600012,IT001,IT,"1,713",1624.534881,5.20%,0.01%,0.00%,88.46511898,-88.46511898
24-Aug,6,600012,IT001,IT,"1,023",1115.4082,9.00%,0.01%,0.00%,92.40819986,92.40819986
24-Sep,6,600012,IT001,IT,"1,223",1539.801298,25.90%,0.02%,0.10%,316.8012983,316.8012983
24-Oct,6,600012,IT001,IT,"1,496",1531.46937,2.40%,0.00%,0.00%,35.46937038,35.46937038
24-Nov,6,600012,IT001,IT,"1,531",1506.46937,1.60%,0.00%,0.00%,24.53062962,-24.53062962
