Month-Year,PRODUCT_FAMILY,GMID,LOC,Country,Sales,Forecast,MAPE,MAPE_Impact,MAPE_Contribution,Absolute Error,Non Absolute Error
23-Dec,1,100018,HK001,HK,224,121,46.00%,0.01%,0.00%,103,-103
23-Jul,1,100019,HK001,HK,140,114,18.60%,0.00%,0.00%,26,-26
23-Aug,1,100019,HK001,HK,89,119,33.70%,0.00%,0.00%,30,30
23-Sep,1,100019,HK001,HK,72,95,31.90%,0.00%,0.00%,23,23
23-Oct,1,100019,HK001,HK,159,99,37.70%,0.01%,0.00%,60,-60
23-Nov,1,100019,HK001,HK,128,103,19.50%,0.00%,0.00%,25,-25
23-Dec,1,100019,HK001,HK,52,70,34.60%,0.00%,0.00%,18,18
23-Jul,1,100020,KR001,KR,12,18,50.00%,0.00%,0.00%,6,6
23-Aug,1,100020,KR001,KR,70,20,71.40%,0.00%,0.00%,50,-50
23-Sep,1,100020,KR001,KR,74,23,68.90%,0.01%,0.00%,51,-51
23-Jul,1,100021,KR001,KR,68,222,226.50%,0.01%,0.10%,154,154
23-Aug,1,100021,KR001,KR,144,261,81.30%,0.01%,0.10%,117,117
23-Sep,1,100021,KR001,KR,102,290,184.30%,0.02%,0.10%,188,188
23-Oct,1,100021,KR001,KR,56,100,78.60%,0.00%,0.00%,44,44
23-Nov,1,100021,KR001,KR,88,140,59.10%,0.00%,0.00%,52,52
23-Dec,1,100021,KR001,KR,126,147,16.70%,0.00%,0.00%,21,21
23-Jul,1,100022,KR001,KR,30,55,83.30%,0.00%,0.00%,25,25
23-Aug,1,100022,KR001,KR,112,62,44.60%,0.00%,0.00%,50,-50
23-Sep,1,100022,KR001,KR,76,70,7.90%,0.00%,0.00%,6,-6
23-Oct,1,100022,KR001,KR,20,50,150.00%,0.00%,0.00%,30,30
23-Nov,1,100022,KR001,KR,30,55,83.30%,0.00%,0.00%,25,25
23-Dec,1,100022,KR001,KR,116,66,43.10%,0.00%,0.00%,50,-50
23-Jul,1,100023,KR001,KR,24,111,362.50%,0.01%,0.10%,87,87
23-Aug,1,100023,KR001,KR,150,125,16.70%,0.00%,0.00%,25,-25
23-Sep,1,100023,KR001,KR,28,140,400.00%,0.01%,0.10%,112,112
23-Oct,1,100023,KR001,KR,0,80,,0.01%,0.00%,80,80
23-Nov,1,100023,KR001,KR,20,100,400.00%,0.01%,0.00%,80,80
23-Dec,1,100023,KR001,KR,76,110,44.70%,0.00%,0.00%,34,34
23-Jul,1,100024,KR001,KR,68,111,63.20%,0.00%,0.00%,43,43
23-Aug,1,100024,KR001,KR,112,130,16.10%,0.00%,0.00%,18,18
23-Sep,1,100024,KR001,KR,176,145,17.60%,0.00%,0.00%,31,-31
23-Oct,1,100024,KR001,KR,58,110,89.70%,0.00%,0.00%,52,52
23-Nov,1,100024,KR001,KR,80,116,45.00%,0.00%,0.00%,36,36
23-Dec,1,100024,KR001,KR,108,130,20.40%,0.00%,0.00%,22,22
23-Jul,1,100025,JP001,JP,10,8.4,16.00%,0.00%,0.00%,1.6,-1.6
23-Aug,1,100025,JP001,JP,13,10,23.10%,0.00%,0.00%,3,-3
23-Sep,1,100025,JP001,JP,23,9,60.90%,0.00%,0.00%,14,-14
23-Oct,1,100025,JP001,JP,15,9,40.00%,0.00%,0.00%,6,-6
23-Nov,1,100025,JP001,JP,16,9,43.80%,0.00%,0.00%,7,-7
23-Dec,1,100025,JP001,JP,17,10,41.20%,0.00%,0.00%,7,-7
23-Jul,1,100026,JP001,JP,48,59.9,24.80%,0.00%,0.00%,11.9,11.9
23-Aug,1,100026,JP001,JP,57,55,3.50%,0.00%,0.00%,2,-2
23-Sep,1,100026,JP001,JP,78,58,25.60%,0.00%,0.00%,20,-20
23-Oct,1,100026,JP001,JP,36,50,38.90%,0.00%,0.00%,14,14
23-Nov,1,100026,JP001,JP,52,45,13.50%,0.00%,0.00%,7,-7
23-Dec,1,100026,JP001,JP,48,49,2.10%,0.00%,0.00%,1,1
23-Jul,1,100027,JP001,JP,52,31.5,39.40%,0.00%,0.00%,20.5,-20.5
23-Aug,1,100027,JP001,JP,53,51,3.80%,0.00%,0.00%,2,-2
23-Sep,1,100027,JP001,JP,52,40,23.10%,0.00%,0.00%,12,-12
23-Oct,1,100027,JP001,JP,39,43,10.30%,0.00%,0.00%,4,4
23-Nov,1,100027,JP001,JP,43,49,14.00%,0.00%,0.00%,6,6
23-Dec,1,100027,JP001,JP,26,54,107.70%,0.00%,0.00%,28,28
23-Jul,1,100028,JP001,JP,94,179.7,91.20%,0.01%,0.10%,85.7,85.7
23-Aug,1,100028,JP001,JP,159,132,17.00%,0.00%,0.00%,27,-27
23-Sep,1,100028,JP001,JP,105,130,23.80%,0.00%,0.00%,25,25
23-Oct,1,100028,JP001,JP,95,133,40.00%,0.00%,0.00%,38,38
23-Nov,1,100028,JP001,JP,161,135,16.10%,0.00%,0.00%,26,-26
23-Dec,1,100028,JP001,JP,159,142,10.70%,0.00%,0.00%,17,-17
23-Jul,1,100029,JP001,JP,452,376.2,16.80%,0.01%,0.00%,75.8,-75.8
23-Aug,1,100029,JP001,JP,579,502,13.30%,0.01%,0.00%,77,-77
23-Sep,1,100029,JP001,JP,355,442,24.50%,0.01%,0.00%,87,87
23-Oct,1,100029,JP001,JP,557,436,21.70%,0.01%,0.00%,121,-121
23-Nov,1,100029,JP001,JP,474,432,8.90%,0.00%,0.00%,42,-42
23-Dec,1,100029,JP001,JP,529,439,17.00%,0.01%,0.00%,90,-90
23-Jul,1,100030,JP001,JP,327,307.9,5.80%,0.00%,0.00%,19.1,-19.1
23-Aug,1,100030,JP001,JP,353,318,9.90%,0.00%,0.00%,35,-35
23-Sep,1,100030,JP001,JP,333,290,12.90%,0.00%,0.00%,43,-43
23-Oct,1,100030,JP001,JP,378,311,17.70%,0.01%,0.00%,67,-67
23-Nov,1,100030,JP001,JP,295,335,13.60%,0.00%,0.00%,40,40
23-Dec,1,100030,JP001,JP,421,350,16.90%,0.01%,0.00%,71,-71
23-Jul,1,100031,CA001,CA,98,50,49.00%,0.00%,0.00%,48,-48
23-Aug,1,100031,CA001,CA,116,64,44.80%,0.00%,0.00%,52,-52
23-Sep,1,100031,CA001,CA,107,56,47.70%,0.01%,0.00%,51,-51
23-Oct,1,100031,CA001,CA,49,61,24.50%,0.00%,0.00%,12,12
